Company_name,Rating,NumberOfUserReview,Type,Location,Region
Woodland,3.9,114,Shoe store,,Durgapur
Durgapur,,,West Bengal,,Durgapur
Puma - JUNCTION,4.3,250,Sportswear store,"Shop No. 116, First Floor, Junction Mall",Durgapur
Shrachi Greenview,4,169,Apartment complex,,Durgapur
Bengal College Of Pharmaceutical Sciences & Research,4.4,254,College,"BASU, Gandhar Sarani",Durgapur
IndianOil,4.1,844,Petrol Pump,"C 415, Ssb Sarani",Durgapur
Bengal College of Engineering and Technology,4,783,College,"DA-8, Sahid Sukumar Banerjee Sarani",Durgapur
Delhi Public School Durgapur,4.2,283,CBSE School,Plot No. 2D/10,Durgapur
SHAIBA SUZUKI,3.8,264,Two Wheeler Dealer,Grand Trunk Rd,Durgapur
Multitech Solutions,4.7,6,Corporate office,,Durgapur
private job,,,Market,,Durgapur
Manorama,4.8,4,Underwear store,,Durgapur
Startup Karle,,,Business management consultant,"Ah 02, Behind Arambaghs Foodmart, Star Gym Building, Shiv Mandir Rd",Siliguri
Wurk - Coworking Space,4.1,-21,Coworking space,"Space Town, 5th Floor, Sevoke Road 2.5 Mile, Post, near Check",Siliguri
Amplesoft Technologies,5,-19,Software company,"Sahid Bhagat Singh Commercial Complex 1st Floor, 2nd Mile, Sevoke Rd",Siliguri
Sign-In Incubator,,,Business center,"Sarat Bhawan, Baghajatin Rd, opp. SBI Court Branch",Siliguri
Raniganj,,,West Bengal,,Raniganj
Radobiz,5,-13,Training centre,"Vivekananda Sarani, opp. Jubilee Petrol Pump",Raniganj
SPK TechnoSoft Pvt. Ltd.| Best Software Development | website Development | App Development | Digital Marketing | Company.,5,-16,Software company,"OK Rd, near Taj Variety Store",Raniganj
Zebronxt Technologies,4.5,-2,Software company,Grand Trunk Rd,Raniganj
CodeAchi Technologies Pvt. Ltd.,4.4,-86,Software company,"1887, 2nd lane",Raniganj
CodeLane Solutions,,,Software company,"Flat-G/c, Sudha Enclave SB Gorai Rd, Near Gorai Mansion",Raniganj
Prachar More,4.8,-8,Software company,Hutton Rd,Raniganj
Nugin,,,Software company,"1-A, Bhairabnath Apartments, near Shyampur Bazar",Raniganj
Shri Balaji Infinity Solutions,5,-5,Website designer,"Vivekanada Samitee Club, Nutan Para",Raniganj
AWK Solutions,4.3,-12,Software company,"8/24 J.N Das Path, SAIL CO-Operative, City Center",Raniganj
Quantitics Consultancy Private Limited,,,Business management consultant,,Raniganj
Brajesh Technologies,,,Software company,near Gayatri Mandir,Raniganj
XAPIERS TECHNOLOGY PRIVATE LIMITED,5,-8,Software company,"MAMC Township, B2-97/3",Raniganj
Xplorbuzz Private Limited,5,-9,Software company,"Module 6, Webel IT Park (Phase - II), Palashdiha",Raniganj
"Entrepreneurship Development Cell, NIT Durgapur (EDC NITD)",4.6,-8,Corporate office,"Room 3B, SN Bose Memorial Building, NIT, Mahatma Gandhi Rd",Raniganj
V,3,-4,Corporate office,,Raniganj
Gocatchy,,,Computer support and services,,Raniganj
Mediaffix,,,Marketing agency,"MWVR+4VW, Gr. Floor, Ashoka Residency, Vidya Sagar Sarani, Rd Number 8",Raniganj
Startup Biz Solution,,,Software company,"RC3W+2HW, c/o S. P. Keshri, JC Mallick Rd",Raniganj
Staff Centre (Silicon Valley),4.8,-5,Housing complex,,Raniganj
Infinity Web Technology,5,-2,Software company,iwt,Raniganj
Swadesh Softwares Pvt. Ltd - Custom Software Development Company in Durgapur,4,-186,Software company,"UCP, 016, Ambedkar Sarani",Raniganj
RL Infocomm Pvt Ltd,4.1,-65,Software company,180 KM GT Road Near Indian Oil Petrol Pump Indo American More,Raniganj
Static Startup,5,-1,E - Commerce Agency,"Vivekananda Sarani, opp. Jubilee Petrol Pump",Raniganj
Startup India,,,Business development service,"MXG9+PF6, S. B. Gorai Road Paschim Barddhaman, West Bengal Kalibari More",Raniganj
Grow Build Business Development Agency,5,-6,Business development service,"9, 5, Sukanta Pally Rd",Raniganj
Sociobox,,,,"13, Matangini Hazra Bithi",Raniganj
Officepro Enterprises,,,Software company,"Zero Point, DVC",Raniganj
AGRI BUSINESS INCUBATION FOUNDATION IIT Kharagpur,,,Corporate office,"Indian Institute of Technology, Kharagpur, Agriculture & Food Engineering",Kharagpur
FOCUS INCUBATION CENTRE,4.3,-3,Textile Exporter,"STEP) Indian Institute of Technology, Science & Technology Entrepreneurs' Park",Kharagpur
Sabak Digital Learning Platform Pvt Ltd,,,Corporate office,"88C5+WQ4, STEP IIT",Kharagpur
Magnox Technologies Pvt. Ltd.,,,Employment agency,"Indian Institute of Technology, Kharagpur, Science and Technology Entrepreneurs Park",Kharagpur
Technology Robotix Society,4.5,-30,Student union,"8892+CVX, Technology Students' Gymkhana,",Kharagpur
Alive Home Technologies Private Limited,4.4,-19,Electronics Company,"Innovation lab, RMSoEE, IIT Kharagpur, in front of SBI",Kharagpur
PROFICIENT VISIONS SOLUTIONS PRIVATE LIMITED,4,-2,Software company,"Plot No. 160-C, Ward No. 34, Kharagpur Municipality Yogananda Arogya Bhawan",Kharagpur
DSBD BIZCO,,,Consultant,"Kachi Saloon, Anjali Kutir, Oriyapara Sarathpalli, Near Bidisha Flat, Lane, Jafala Rd",Kharagpur
Rajendra Mishra School Of Engineering Entrepreneurship,4.5,-15,University department,"88C5+VQX, SH 5",Kharagpur
ANA & CO. - Consultants,5,-8,Accounting firm,opp. Mangalika Hall,Kharagpur
Zelence Industries Pvt. Ltd.,4.9,-98,Corporate office,"Indian Institute of Technology, Kharagpur, Science and Technology Entrepreneurs Park",Kharagpur
Startuptalky,3.7,-3,Advertising agency,"88C4+XF8, SH 5",Kharagpur
"Centre of Excellence in Advanced Manufacturing Technology, IIT Kharagpur",4.8,-19,Industrial consultant,Deesha Seema,Kharagpur
"Indian Institute of Technology, Kharagpur",4.6,"-4,298",Technical university,,Kharagpur
"IIT Kharagpur, Main Academic Building",4.6,-385,Education Councils & Boards Office,8895+RWX,Kharagpur
SASHRIKA CREATION,4.8,-9,Clothing store,"SASHRIKA CREATION, Srikrishnapur Halderpara",Kharagpur
