Company_name,ration,user_review,Type,region
Ner Rubber National Engineering Industries Ltd,3.8,-9.0,Manufacturer,kolkata
National Engineering & Technology,4.9,-14.0,Manufacturer,kolkata
Larsen & Toubro Ltd,4.5,-771.0,Real Estate Builders & Construction Company,kolkata
Ecodrive - National Manufacturing Company,5.0,-2.0,Hardware store,kolkata
National Porcelain Hitech Mfg Co,5.0,-1.0,Ceramic manufacturer,kolkata
National Engineering Industries Ltd.,5.0,-1.0,Bearing supplier,kolkata
National Engineering Co.,,,Manufacturer,kolkata
Sankalpa Print Xerox & Cyber,5.0,-1.0,Print shop,kolkata
"National Engineering & Technology, Unit-2",,,Manufacturer,kolkata
NATIONAL ENGINEERING WORKS,5.0,-2.0,Manufacturer,kolkata
NATIONAL CHAIN CORPORATION,5.0,-3.0,Manufacturer,kolkata
National Traders (Tesla Power Shop),5.0,-1.0,Manufacturer,kolkata
National Textile Corporation Limited,4.0,-1.0,Textile mill,kolkata
National Timber Industry,5.0,-2.0,Saw mill,kolkata
National Carbon Brush Products,5.0,-1.0,Manufacturer,kolkata
GATE NO. 2 OPD GATE NATIONAL INSTITUTE OF HOMOEOPATHY,3.3,-4.0,Gated community,kolkata
National Packaging,4.0,-1.0,Print shop,kolkata
National Timber Co.,5.0,-2.0,Lumber store,kolkata
Wipro Limited,3.8,-6.0,Corporate office,kolkata
R.K NATIONAL ENGINEERING,4.2,-5.0,Manufacturer,kolkata
National Box Co,,,Manufacturer,kolkata
National Associated Industries,,,Plastic Injection Molding Workshop,kolkata
National Wood Wool Manufacturing. Co.,5.0,-1.0,Manufacturer,kolkata
National Plastic Household Products Private Limited,,,Plastic fabrication company,kolkata
National Paints & Chemicals (INDIA),5.0,-1.0,Paint Manufacturer,kolkata
NATIONAL HYDRAULICS,,,Manufacturer,kolkata
National Plastic,4.6,-5.0,Plastic fabrication company,kolkata
National Industrial Corporation,4.0,-1.0,Hardware store,kolkata
National Lock Company,4.0,-3.0,Manufacturer,kolkata
National Plastic Traders,5.0,-1.0,Plastic fabrication company,kolkata
National Paints & Chemicals (INDIA),4.0,-1.0,Paint Manufacturer,kolkata
NATIONAL TRADE CORPORATION,,,Manufacturer,kolkata
National Chemical Co.,5.0,-1.0,Manufacturer,kolkata
National traders,,,Industrial equipment supplier,kolkata
National Engineering & Technology- Unit-3,5.0,-1.0,Manufacturer,kolkata
National Tea Company,5.0,-2.0,Supplier,kolkata
National Pharmaceutical,5.0,-2.0,Pharmaceutical company,kolkata
LCMP Furnace Rooms,4.0,-1.0,Furnace parts supplier,kolkata
National Automobiles,,,Automation company,kolkata
National Casting & Engg. Company,5.0,-2.0,Manufacturer,kolkata
National Aqua,,,Manufacturer,kolkata
Indian National Floors,2.3,-3.0,Manufacturer,kolkata
National Plastic,3.5,-2.0,Plastic fabrication company,kolkata
National Traders,5.0,-1.0,Manufacturer,kolkata
National Cabinet Company,,,Cabinet maker,kolkata
National Cabinet Company,4.5,-2.0,Lumber store,kolkata
National Tools Industries,,,Plastic Injection Molding Workshop,kolkata
National Wire Works,,,Metal fabricator,kolkata
National Jute Board,4.8,-4.0,Textile mill,kolkata
NATIONAL INDUSTRIES,,,Container supplier,kolkata
National Machine Industries,,,Machine shop,kolkata
National Insurance Co Limited,4.0,-31.0,Insurance company,asansol
National Agency since 1986,5.0,-3.0,Stationery wholesaler,asansol
National Insurance,3.5,-21.0,Insurance company,asansol
National Glass Works(Sodium silicate),4.5,-2.0,Medical technology manufacturer,asansol
National Corporate,4.7,-30.0,Office supply store,asansol
National Offset Priters,5.0,-1.0,Print shop,asansol
D-Electrode,4.5,-10.0,Automation company,asansol
Mining and Allied Engineering Industries,3.7,-3.0,Manufacturer,asansol
National Cyber Cafe,,,Internet cafe,asansol
National Battery Centre,4.9,-7.0,Battery Wholesaler,asansol
The New India Assurance Company Ltd,4.2,-50.0,Insurance agency,asansol
National Institute Of OXBERRY (Govt. Registered) || Asansol,4.4,-65.0,Hardware Training Institute,asansol
P.D HYDRAULICS,4.5,-2.0,Manufacturer,asansol
National Cyber Cafe,5.0,-1.0,Internet cafe,asansol
Sheth Industries,5.0,-27.0,Paving materials supplier,asansol
"HYDRO MECH ENGINEERS,TRACK LAYING EQUIPMENT, TRACK CONSTRUCTION EQUIPMENTS ,TRACK LAYING MACHINES",5.0,-1.0,Hydraulic equipment supplier,asansol
National Youth Computer Literacy Drive,4.2,-45.0,Coaching Center,asansol
CHASI PARA,5.0,-1.0,Housing society,asansol
NATIONAL CYBER CAFE (GST Suvidha Center),,,Tax consultant,asansol
NCC 10 BENGAL BN,4.6,-37.0,Defence Company,asansol
Tochi Enterprises,3.8,-8.0,Sewing machine store,asansol
New India Assurance,4.5,-2.0,Insurance agency,asansol
Naba Ananya cooperative housing society limited,4.1,-191.0,Housing development,asansol
"Vastu Vihar Phase 1, Asansol",3.8,-5.0,Housing society,asansol
Blue Dart DHL Office,3.1,-118.0,Courier service,asansol
Krishi vigyan nursery,4.3,-7.0,Plant nursery,asansol
The Professional Couriers,3.7,-3.0,Courier service,asansol
GNB Motors,4.0,-12.0,Trucking company,asansol
Webel IT Park Asansol Branch,3.8,-52.0,Corporate campus,asansol
Solution Point Co. Ltd.,3.7,-3.0,Corporate office,asansol
abhishek k,,,Home automation company,asansol
Hindustan Petroleum,3.0,-1.0,Gas logs supplier,asansol
National Cyber Cafe,3.8,-9.0,Internet cafe,asansol
Dhakeshwari,,,Manufacturer,asansol
National service,,,Home automation company,asansol
M/S SHOVA FLY ASH BRICKS,,,Manufacturer,asansol
Warehouse Asansol (Tower Materials),4.0,-1.0,Warehouse,asansol
