company_name,company_type,Location,review,no_user_review
Mnc Software Companies,Software company,"1, 8, Major Arterial Road (South East Extension)",,
Teleminds Infotech Pvt. Ltd.,Corporate office,"Salt Lake Electronics Complex, Megatherm Building, 8th",3.2,-270
Imagine Tech Park - Genpact Kolkata Salt Lake Sector V,Corporate office,Plot no 6,4.7,-146
iSolution Software Systems Private Limited,Software company,"Infinity Benchmark Building, 18th Floor, Room#3, Saltlake Electronics Complex, Sector - V",,
KEYSIGHT TECHNOLOGIES - Ixia,Software company,"Floor 8, Infinity Tower II, Block-GP, Sector V, Salt Lake",4.5,-66
ValleySoft,Software company,"DN 24, Matrix Tower, Module, 205, Sector V, Salt Lake City",4.0,-2
Colliers International Kolkata,Real estate agency,"PS Srijan Corporate Park, 14th Floor GP-2, Block EP & GP, Salt Lake, Sector V",4.1,-39
Pvt Ltd,,"DN-10, Merlin Matrix, 7th Floor",,
LEVEN TECHNOLOGIES,Software company,"""THE KNOWLEDGE HUB"" 6th Floor, DN-23, Saltlake City, Sector - V",,
Imagine Tech Park,Real Estate Builders & Construction Company,"OFFICE-1, GODREJ WATERSIDE, Street No. 13",,
IKF Technologies Ltd,Internet service provider,"J-1/12, Indo Japan Building, Sector V, EP - GP Block, Salt Lake City",3.2,-156
Brabender Technologie GmbH & Co. KG,Manufacturer,"CJ-231, Ground Floor",,
Infinity BenchMark,Corporate office,Street Number 25,4.4,"-1,048"
Fleapo - Mobile App Development & Web Design Company in Kolkata,Website designer,"EN66 #202 (2nd Floor), Salt Lake",4.5,-91
Mindpace Software Technologies Pvt Ltd,Software company,DN 24,,
Cuvesk Business Solutions Private Limited,Website designer,"No. 308, 3rd Floor, Stesalit Towers",4.4,-20
mjunction services limited,E-commerce service,"Tower 1, Godrej Waterside, 3rd Floor",4.6,-258
DCG Data-Core Systems India Pvt Ltd,Software company,DCG Data-Core Systems India Pvt Ltd,4.2,-277
Tata Consultancy Services,Computer support and services,700091 DN 54 and 55,4.5,-156
Technopolis Building,Corporate office,"HCHQ+V3X, Street Number 1",4.4,"-5,618"
Tangent Tech Solutins,Software company,"Gamma 4th, Ep Block, & GP Salt Lake Electronics Complex, Bengal Intelligent Park Building",,
Planet Infrastructure Management Pvt Ltd,Corporate office,"1803, BP- 3, Martin Burn Business Park",5.0,-9
PS Srijan Corporate Park,Corporate campus,"SRIJAN CORPORATE PARK, Street Number 25",4.4,-674
360BIM Solutions Private Limited,Engineering consultant,"Unit 1201, 12th, Godrej Genesis Building, Street Number 18",5.0,-2
Sector-v,Government office,"BENGAL ECO INTELLIGENT PARK, Plot No. 3, Unit No- 7E, 7th Floor",4.4,-29
Wipro Tower 1,Corporate office,"Plot no 1, 7, 8 & 9, Block DM, Sector V, Salt Lake",4.5,-64
ASA International India Microfinance Limited,Financial institution,"GN 37/2, Victoria Park, 4th Floor, Sector 5",4.4,-26
Axsys Technologies Limited,Computer consultant,Pekon Bldg,3.7,-43
Metalogic Systems Pvt Ltd,Software company,"1, 1",,
Nirmita Manufacturing Company,Manufacturer,"6, Gopal Chandra Mukherjee Ln",,
Apogee Industries,Manufacturer,"77, 20, Benaras Rd",4.9,-9.0
Howrah Business Corporation Private Limited,Corporate office,"61, Chintamani Dey Rd",,
"Elevator companies in Kolkata, Elevator companies west Bengal | SafeRide Elevator | November | 2023 |",Elevator Manufacturer,"39, P.K. Roychowdhury Ln",,
Jaidka Power Systems Pvt. Ltd. Factory,Manufacturer,"Plot No. 3593 Saraswati Industrial Complex,Mukherjee Para PIN -711411",4.2,-5.0
Industrial Development Company,Industrial equipment supplier,Baltikuri,,
SANJAY CASTING & ENGINEERING COMPANY,Manufacturer,"114, Makardah Rd",3.0,-2.0
Pepsico,Manufacturer,H5CG+VWJ,4.3,-149.0
CERATIZIT INDIA PVT LTD,Mechanical engineer,"Plot 56, Uluberia Industrial Growth Centre, P.O. Birshibpur",4.5,-74.0
"Indivent, Howrah",Manufacturer,"Amtala Phari, 67/2, Andul Rd",5.0,-4.0
MANAS INDUSTRIES,Corporate office,301/1 ABs NORTH PLAZA,3.3,-7.0
