Company_name,review,no_review,type,region
Bharti Axa Life Insurance Company Limited,4.0,1,Insurance agency,durgapur
"LIC of India, Branch Office",4.0,102,Insurance company,durgapur
Bharti Airtel Zonal Office,4.8,12,Telecommunications service provider,durgapur
"LIC of India, Branch Office",4.0,68,Insurance company,durgapur
Industrial Area,,,"Durgapur, West Bengal",durgapur
Durgapur Jobs | City Jobs | Job Vacancy News,3.6,16,Employment consultant,durgapur
"Durgapur Field Zonal Office, WBSETCL",3.7,6,Government office,durgapur
National Insurance,3.3,4,Insurance company,durgapur
BSNL Customer Service Centre,3.5,131,Telephone company,durgapur
Reliance General Insurance Company Limited,3.1,9,Insurance agency,durgapur
YCFC INDIA,3.1,34,Stock broker,durgapur
Gowebbi,3.4,82,Website designer,durgapur
Bajaj Allianz Life Insurance Company Limited,3.4,23,Life insurance agency,durgapur
Cholamandalam Investment and Finance Company Limited,1.0,1,Loan agency,durgapur
Security Guard Office,2.4,5,Security guard service,durgapur
Elegant Steel SPS Housing Complex,4.3,3,Housing authority,durgapur
ICICI Prudential Mutual Fund,4.0,1,Financial institution,durgapur
Zomato Order Point,5.0,1,Food broker,durgapur
Piramal Capital & Housing Finance Limited,4.1,8,Loan agency,durgapur
Ultra Job Consultancy & Management Services,4.7,53,Employment consultant,durgapur
Ecom Express,2.7,104,Logistics service,durgapur
Future Generali Insurance,3.8,5,Insurance company,durgapur
Bajaj Allianz General Insurance Company,3.8,8,Insurance agency,durgapur
The Professional Couriers,1.8,60,Courier service,durgapur
Income Tax Commissioner,4.3,4,Government office,durgapur
Durgapur WB,,,Housing society,durgapur
Integrated Security Services,4.0,13,Security guard service,durgapur
SRI MURUGAN TRANSPORT,4.9,65,Transportation service,durgapur
ABP,3.8,13,News service,durgapur
Cornerstone Architects,5.0,8,Architecture firm,durgapur
SBI General Insurance Company Limited,3.8,23,Auto electrical service,durgapur
Bajrang Trading.,3.0,1,Water purification company,durgapur
ICICI Prudential,3.8,6,Insurance agency,durgapur
Canara HSBC Life Insurance,4.3,7,Life insurance agency,durgapur
MakeMyTrip India Private Limited,3.2,18,Travel agency,durgapur
The Oriental Insurance Company Ltd.,,,Insurance company,durgapur
Sen Brothers Enterprises (Pvt.) Ltd.,3.7,3,General contractor,durgapur
HDFC Life,3.8,6,Insurance company,durgapur
Angel broking,5.0,1,Market researcher,durgapur
Haldia SDO Office Administrative Building,4.0,105.0,Corporate office,haldia
Haldia Energy Limited (Technical Building),4.8,9.0,Corporate office,haldia
C.I.S.F HEADQUARTERS,4.6,9.0,Corporate office,haldia
South Gate # Haldia Pertochemicals Ltd.,5.0,2.0,Chemical Manufacturer,haldia
EMAMI AGROTECH LTD,4.3,74.0,Manufacturer,haldia
MCPI Private Limited,4.1,47.0,Chemical plant,haldia
"IOCL HALDIA ADMINISTRATIVE BUILDING, HALDIA",,,Oil refinery,haldia
Software Technology Parks of India,2.9,11.0,Government office,haldia
HALDIA INDUSTIRAL ESTATE,,,Corporate office,haldia
Plant And Equipment Haldia Dock Complex,,,Corporate office,haldia
Petro Carbon & Chemicals Pvt. Ltd.,3.4,8.0,Chemical Manufacturer,haldia
Haldia Energy Limited,4.2,442.0,Power station,haldia
Indorama India Pvt. Ltd.,4.2,87.0,Chemical plant,haldia
LTC GROUP OF CO.,3.9,131.0,Real Estate Builders & Construction Company,haldia
Coast guard DHQ,4.4,21.0,Corporate office,haldia
Power Plant (Haldia Petrochemicals Ltd.),4.0,4.0,Power station,haldia
Haldia Solution,5.0,1.0,Services Companies,haldia
Haldia Pertochemicals Ltd. Gate 3,4.3,20.0,Logistics service,haldia
HALDIA CONSTRUCTION HUB,5.0,1.0,Construction Material Wholesaler,haldia
Indian Oil Corporation Ltd Haldia Refinery,4.3,226.0,Oil refinery,haldia
"LIC of India, Branch Office",4.2,111.0,Insurance company,haldia
National Insurance - Durgachak-Haldia Office,3.9,36.0,Insurance company,haldia
HALDIA DEVELOPMENT AUTHORITY,,,Real Estate Builders & Construction Company,haldia
UPL LIMITED,3.8,19.0,Chemical plant,haldia
Webel IT Park,4.3,103.0,Office equipment rental service,haldia
Haldia Dock Complex,4.2,229.0,Port operating company,haldia
"Ekart logistic courier office,Haldia",3.7,79.0,Courier service,haldia
Bajaj Allianz Life Insurance Company Limited,3.9,40.0,Life insurance agency,haldia
Lalbaba Seamless Tubes Pvt. Ltd.,4.2,41.0,Pipe Manufacturer,haldia
Durgachak Post Office,3.3,4.0,Mailing service,haldia
Girindra H P Gas Service,3.4,40.0,Gas Agency,haldia
Karvy Stock Broking Limited,1.0,2.0,Stock broker,haldia
Gst office holdia,4.2,6.0,Office space rental agency,haldia
Force Security Group,2.8,4.0,Security guard service,haldia
Haldia Development Authority,4.1,64.0,Economic development agency,haldia
Blue Dart Express Limited,3.2,84.0,Courier service,haldia
Blue dart,2.6,34.0,Courier service,haldia
Bajaj Allianz Life Insurance Comp. Ltd,3.6,5.0,Life insurance agency,haldia
Haldia Engineering Co,3.8,4.0,Corporate office,haldia
HALDIA INFORMATION TECHNOLOGIES,4.0,4.0,Software company,haldia
zomato Office,1.0,5,Corporate office,hoogly
Cams Office,3.8,29,Corporate office,hoogly
IFABEX TECHNOLOGIES (HQ),5.0,3,Electronics manufacturer,hoogly
Raado & Company,5.0,1,Manufacturer,hoogly
Head Office Furfura Sharif Ahale Sunnatul Jamat,4.5,200,Corporate office,hoogly
Shivshakti Agro India Limited,3.5,6,Manufacturer,hoogly
"Beltala, Chamrail",4.2,32,Corporate office,hoogly
Turtle Limited Head Office,4.1,11,Corporate office,hoogly
Ramkishan Packaging Private Limited,5.0,2,Packaging company,hoogly
DALHOUSIE JUTE COMPANY,4.2,11,Jute Mill,hoogly
NGB HQ Industrial Unit,4.3,37,Engineering consultant,hoogly
Sastaa Nashaa HQ,5.0,1,Tea Manufacturer,hoogly
S. M. Group,3.0,1,Corporate office,hoogly
Waaree Solar Power Centre - Pho-Com-Net Pvt Ltd,4.4,33,Corporate office,hoogly
SBI Life Insurance Co Ltd,3.7,10,Insurance company,hoogly
"SDO Office Chinsurah (Sadar sub-division, Hooghly district)",4.0,14,Government office,hoogly
"SINGUR B.D.O. OFFICE, HOOGHLY, WEST BENGAL.",4.1,38,State government office,hoogly
Canvascom Engineering & Software Services,5.0,12,Corporate office,hoogly
Matrix Rope Nets Solutions (Kolkata - HQ),,,Manufacturer,hoogly
MedPlus Office,3.6,84,Corporate office,hoogly
Orchid DMC Private Limited,5.0,3,Corporate office,hoogly
White Owl Services,,,Corporate office,hoogly
Hindustan Motors Limited,4.2,10,Corporate office,hoogly
Sriram Associates Private Limited,,,Corporate office,hoogly
Titagarh Group,4.5,79,Corporate office,hoogly
Airtel Office Tarakeswar,3.6,49,Telecommunications service provider,hoogly
N.J.M.C. Ltd.,4.7,6,Corporate office,hoogly
Ceasefire Industries Private Limited,4.9,14,Corporate office,hoogly
Heinz India Pvt Ltd,3.8,13,Corporate office,hoogly
LINXON INDIA PVT LTD,5.0,2,Corporate office,hoogly
Office,3.0,2,Corporate office,hoogly
DVC Towers Kolkata,4.4,328,Corporate office,hoogly
ollypop house,3.8,32,Corporate office,hoogly
HEAD OFFICE (Indian National Trinomul Trade Union Congress),3.7,3,Corporate office,hoogly
IRCON Regional Office,4.6,12,Corporate office,hoogly
Hindusthan National Glass & Industries Ltd,4.0,57,Corporate office,hoogly
OnProcess Technology,4.0,145,Corporate office,hoogly
Microsoft Corporation India Pvt Ltd (Kolkata Office),4.5,34,Corporate office,hoogly
Teoco Software Pvt. Ltd.,4.4,69,Corporate office,hoogly
Exide Industries Limited,4.2,214,Corporate office,hoogly
Esri India Technologies Ltd.,5.0,4,Corporate office,hoogly
Mondelez International,3.8,8,Corporate office,hoogly
Spencers Retail Limited,4.0,131,Corporate office,hoogly
PUMA Regional Office East,5.0,3,Corporate office,hoogly
Eveready Industries India Ltd.,4.4,112,Corporate office,hoogly
Hooghly,,,West Bengal,hoogly
Britannia Industries Limited,3.8,35,Corporate office,hoogly
Dongfang Electric (I) Pvt. Ltd.,4.3,195,Corporate office,hoogly
Shantinath Detergent Pvt. Ltd.,5.0,7,Chemical Manufacturer,hoogly
Denave India Pvt. Ltd.,3.6,11,Corporate office,hoogly
Mankind Pharma office,4.1,15,Corporate office,hoogly
ITC Limited,4.6,312,Corporate office,hoogly
Fusion - BPM Solutions Provider in India,3.7,"1,446",Corporate office,hoogly
Khadim India Ltd. Corporate Office,4.3,116,Corporate office,hoogly
Ashirvad Food Products Pvt. Ltd.,3.1,7,Corporate office,hoogly
Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,4.5,10,Corporate office,hoogly
McNROE Consumer Products Pvt Ltd,4.0,87,Corporate office,hoogly
Emami Agrotech Limited,4.4,177,Corporate office,hoogly
Universal Corporation Ltd.,2.9,44,Corporate office,hoogly
MSTC LIMITED,3.8,11,Corporate office,hoogly
Sankalp Semiconductor Pvt Ltd,4.6,25,Corporate office,hoogly
"Panasonic India pvt ltd, Kolkata main Office",3.9,54,Corporate office,hoogly
SMSRC Private Limited,3.8,28,Corporate office,hoogly
Birla Buildings Limited,4.4,544,Corporate office,hoogly
Kantar operations(IMRB),4.3,48,Corporate office,hoogly
"Protiviti, Kolkata",4.6,39,Corporate office,hoogly
DM Aromatics,5.0,1,Corporate office,hoogly
J.B. Norton & Co.,4.4,5,Corporate office,hoogly
SAMSUNG INDIA ELECTRONICS PVT. LTD,3.6,22,Corporate office,hoogly
Dalmia Office,3.8,18,Corporate office,hoogly
Genpact India,4.3,879,Corporate office,hoogly
Sodexo Kolkata,4.4,49,Corporate office,hoogly
